archive;retrieve;nhc;version;person;body;8.922;1.0;12.448;10.282
reflect;speak;;;;;7.325;0.485;11.707;5.891
speak;exceed;person;language;damage;quantity;7.019;0.38;11.462;8.203
burn;contain;;;;;7.271;0.308;11.26;5.932
assign;have;organization;name;person;name;7.12;0.21;10.881;10.517
assign;judge;;;;;7.12;0.19;10.784;7.475
burn;break;fire;quantity;fire;record;7.271;0.18;10.737;5.331
end;delimit;;;;;6.972;0.172;10.685;10.469
last;delimit;person;time;date;period;6.566;0.172;10.677;10.867
send;arrive;;;;;6.695;0.121;10.332;4.284
run;delimit;person;organization;date;period;6.422;0.112;10.25;10.584
delimit;limit;;;;;6.289;0.107;10.201;10.668
deploy;send;organization;team;organization;team;6.695;0.098;10.129;5.735
retire;mark;;;;;6.42;0.082;9.946;6.618
shake;measure;earthquake;country;quake;number;6.074;0.067;9.737;6.985
know;originate;;;;;5.963;0.052;9.489;5.647
suspend;close;organization;service;organization;school;5.872;0.046;9.368;5.561
know;name;;;;;5.451;0.032;9.007;3.179
follow;retire;organization;date;organization;name;4.566;0.023;8.644;5.535
accelerate;transition;;;;;5.067;0.02;8.532;10.221
attain;assess;person;intensity;person;damage;4.938;0.017;8.372;9.496
assign;retire;;;;;4.732;0.017;8.37;6.897
contribute;strike;organization;money;earthquake;country;4.573;0.014;8.21;6.992
document;form;;;;;4.158;0.014;8.184;8.142
die;miss;people;person;people;people;4.52;0.012;8.046;4.483
weaken;transition;;;;;3.158;0.012;7.962;11.56
retire;replace;organization;name;organization;person;6.289;0.514;7.918;5.495
kill;rise;;;;;3.929;0.009;7.758;4.901
weaken;absorb;person;trend;person;remnant;3.386;0.009;7.69;8.662
destroy;demolish;;;;;3.889;0.008;7.65;6.803
form;drift;person;quantity;person;northward;3.591;0.008;7.616;7.948
shake;strike;;;;;3.892;0.008;7.581;6.286
occur;feel;earthquake;quantity;person;intensity;3.847;0.007;7.51;5.338
kill;miss;;;;;3.459;0.007;7.485;4.269
intensify;undergo;person;storm;person;intensification;3.836;0.007;7.447;9.268
damage;wreck;;;;;3.998;0.007;7.432;7.194
advise;evacuate;organization;resident;people;people;3.883;0.006;7.409;7.979
destroy;disrupt;;;;;3.889;0.006;7.355;6.178
destroy;cut;tornado;home;person;power;3.889;0.006;7.355;5.354
limit;form;;;;;3.455;0.006;7.347;6.959
damage;amount;wind;home;damage;damage;3.156;0.006;7.299;8.702
occur;estimate;;;;;3.261;0.006;7.268;5.836
weaken;deteriorate;person;trend;storm;condition;3.386;0.006;7.257;8.324
originate;track;;;;;3.54;0.006;7.253;8.677
know;form;person;cyclone;person;quantity;3.297;0.005;7.209;4.244
occur;trigger;;;;;3.315;0.005;7.186;7.13
peak;weaken;rainfall;wind;person;trend;1.702;0.005;7.166;10.428
exceed;include;;;;;3.72;0.005;7.154;4.602
assign;take;organization;name;person;place;3.626;0.005;7.091;4.064
downgrade;dissipate;;;;;2.522;0.005;7.066;10.606
